Frequency (Hz)	Level (dB)
11391.064453	-112.409904
11401.831055	-111.883781
11412.597656	-111.172569
11423.364258	-112.231079
11434.130859	-111.240974
11444.897461	-110.544754
11455.664062	-110.892181
11466.430664	-112.186775
11477.197266	-111.986328
11487.963867	-112.267982
11498.730469	-113.055885
11509.497070	-111.594276
11520.263672	-110.793549
11531.030273	-110.270935
11541.796875	-108.891785
11552.563477	-109.660172
11563.330078	-110.522919
11574.096680	-109.777504
11584.863281	-110.863441
11595.629883	-113.028641
11606.396484	-113.593788
11617.163086	-112.183708
11627.929688	-112.885559
11638.696289	-112.480827
11649.462891	-112.485847
11660.229492	-113.072716
11670.996094	-110.594238
11681.762695	-109.418510
11692.529297	-109.637932
11703.295898	-109.208008
11714.062500	-109.644150
11724.829102	-112.371376
11735.595703	-114.330124
11746.362305	-113.726685
11757.128906	-113.459183
11767.895508	-115.429977
11778.662109	-113.680481
11789.428711	-112.402138
11800.195312	-112.662552
11810.961914	-113.557510
11821.728516	-113.219589
11832.495117	-113.732063
11843.261719	-112.744247
11854.028320	-111.072937
11864.794922	-109.822960
11875.561523	-109.917717
11886.328125	-111.756805
11897.094727	-113.424614
11907.861328	-114.014153
11918.627930	-112.714806
11929.394531	-110.751259
11940.161133	-113.665230
11950.927734	-113.797173
11961.694336	-111.923523
11972.460938	-112.133507
11983.227539	-112.718613
11993.994141	-114.281944
12004.760742	-114.665092
12015.527344	-112.594437
12026.293945	-113.630852
12037.060547	-112.717049
12047.827148	-112.274696
12058.593750	-113.148849
12069.360352	-114.609344
12080.126953	-115.349289
12090.893555	-112.604370
12101.660156	-111.677757
12112.426758	-113.876518
12123.193359	-114.143288
12133.959961	-113.507057
12144.726562	-112.859856
12155.493164	-113.227829
12166.259766	-113.204491
12177.026367	-113.128853
12187.792969	-112.809326
12198.559570	-112.795311
12209.326172	-112.060760
12220.092773	-112.062332
12230.859375	-112.338188
12241.625977	-112.299232
12252.392578	-112.537155
12263.159180	-112.413971
12273.925781	-112.697495
12284.692383	-114.132828
12295.458984	-111.922951
12306.225586	-109.870392
12316.992188	-111.346222
12327.758789	-111.923042
12338.525391	-110.971397
12349.291992	-112.877686
12360.058594	-113.647690
12370.825195	-113.982773
12381.591797	-114.191071
12392.358398	-111.943398
12403.125000	-108.749710
12413.891602	-112.346069
12424.658203	-115.488731
12435.424805	-113.367210
12446.191406	-113.557213
12456.958008	-114.261093
12467.724609	-113.516724
12478.491211	-113.042854
12489.257812	-112.979553
12500.024414	-113.612564
12510.791016	-112.729782
12521.557617	-113.589760
12532.324219	-113.846115
12543.090820	-114.654114
12553.857422	-113.643837
12564.624023	-111.265671
